llave,nombre_ins,creacion00,direg15,cdpr15,cdcan15,cddis15,regplan15,zona15,mit_15,mih_15,rt_15,rh_15,aprobt_15,aprobh_15,reprot_15,reproh_15,desa_15,desah_15,desert_15,deserh_15,act_15,ach_15,nst_15,nsh_15,sit_15,sih_15,embt_15,embmenor_15,embmayor_15,aat15,aab15,apt15,apb15,aest15,aesb15,aaet15,aaeb15,anat15,anab15,inft15,infb15,olat15,olab15,salt15,salb15,comt15,comb15,bibt15,bibb15,gimt15,gimb15,talt_ai15,talb_ai15,otalt15,otalb15,sodt15,sodb15,indt15,indb15,lavt15,lavb15,sant15,sanb15,tvt15,tvb15,vbt15,vbb15,dvdt15,dvdb15,cetoi15,cetos15,cepei15,cepes15,cepai15,cepas15,ceadi15,ceads15,cptoi15,cptos15,cppei15,cppes15,cppai15,cppas15,cpadi15,cpads15,bib15,sal15,pla15,aux15,serv_int15,expto_15,expdef_15,exptem_15,agrve_15,agrvep_15,agrveo_15,agrfe_15,agrfep_15,agrfeo_15,agree_15,agreep_15,agreeo_15,agrre_15,agrrep_15,agrreo_15,agrde_15,agrdep_15,agrdeo_15,agroe_15,agroep_15,agroeo_15,int_15,inht_15,rit_15,rih_15,frt_15,frh_15,itt_15,ith_15,extrant_15,extranh_15
6956,EL PORO,1989,3,2,203,20307,1,1,121,58,3,1,121,58,6,2,0,0,-6,-2,3,2,31,14,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,0,0,2,2,0,0,4,0,2,0,2,0,0,0,4,0,3,0,0,0,1,0,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,58,0,0,0,0,0,0,10,4
6958,DR. RAFAEL A. CALDERON G.,1991,3,2,203,20307,1,1,67,39,4,4,61,38,12,4,1,1,-6,-2,0,0,0,0,3,1,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,5,5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,2,0,8,0,8,0,0,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,39,0,0,0,0,0,0,5,4
6960,SIBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6962,SAN DIEGO,1990,3,2,201,20110,1,1,120,60,1,1,119,60,0,0,0,0,1,0,0,0,25,13,0,0,0,0,0,9,9,3,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,6,6,6,6,2,2,1,1,9,9,0,0,30,0,0,0,30,0,0,0,5,0,0,0,5,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,60,0,0,0,0,0,0,6,4
6964,BRI-BRI,1990,3,2,201,20101,1,1,86,52,0,0,92,55,0,0,0,0,-6,-3,0,0,3,2,0,0,0,0,0,6,6,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,8,8,4,4,2,2,1,1,6,6,1,1,28,0,20,0,6,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,52,0,0,0,0,0,0,1,0
6966,LUIS DEMETRIO TINOCO C.,1991,24,1,108,10807,1,1,410,213,37,21,374,185,45,28,19,13,-9,0,16,7,68,38,15,11,1,1,0,10,10,2,2,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10,10,9,9,1,1,3,3,2,2,1,1,3,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,212,0,0,0,0,0,0,36,20
6968,REPUBLICA DE PERU,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970,SAN JERONIMO,1965,20,1,112,11205,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6972,ESTERO REAL,1975,22,6,605,60501,4,1,10,8,0,0,8,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6974,COLONIA LOS ANGELES,1995,21,4,410,41003,6,2,18,10,0,0,17,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
